ID,First Author,Year, Location,Input Body Part,Gesture,Sensing_PANEL_Sensors,Sensing_PANEL_No Additional Sensing,Interaction_PANEL_Number of Selected Gestures,Interaction_PANEL_Resolution,Interaction_PANEL_Hands-Free,Interaction_PANEL_Eyes-Free,Interaction_PANEL_Possible on One Ear,Interaction_PANEL_Adaptation of the Interaction Detection Algorithm to the Individual User,Interaction_PANEL_Discreetness of Interaction Techniques,Interaction_PANEL_Social Acceptability of Interaction Techniques,Interaction_PANEL_Accuracy of Interaction Recognition,Interaction_PANEL_Robustness of Interaction Detection,Study_PANEL_Elicitation Study,Study_PANEL_Usability Evaluations,Study_PANEL_Cognitive Ease Evaluations,Study_PANEL_Discreetness of Interactions Evaluations,Study_PANEL_Social Acceptability of Interactions Evaluations,Study_PANEL_Accuracy of Interactions Evaluations,Study_PANEL_Alternative Interaction Validity Evaluations,Study_PANEL_Evaluation of Different Conditions,Study_PANEL_Evaluation of Different Settings,Device_PANEL_Earphone Type,Device_PANEL_Development Stage,Device_PANEL_Real-Time Processing,Device_PANEL_On-Device Processing,Applications_PANEL_Intended Applications,Keywords,Abstract,Study Link
37,Huang et al.,2018,Actuation,N/A,Deformation (Actuation),N/A,N/A,4,Semantic,Yes,Yes,Yes,N/A,Medium,Medium,N/A,N/A,Yes (N=10),Yes (N=20),No,No,Yes (N=20),No,No,Sitting,Café,Custom Device,Research Prototype,N/A,N/A,"Accessibility, Communication, Social Interaction","Actuating Human Body, Auricle, Body Language, Emotion, Wearable Earpiece","In this paper, we propose using the auricle – the visible part of the ear – as a means of expressive output to extend body language to convey emotional states. With an initial exploratory study, we provide an initial set of dynamic and static auricular postures. Using these results, we examined the relationship between emotions and auricular postures, noting that dynamic postures involving stretching the top helix in fast (e.g., 2Hz) and slow speeds (1Hz) conveyed intense and mild pleasantness while static postures involving bending the side or top helix towards the center of the ear were associated with intense and mild unpleasantness. Based on the results, we developed a prototype (called Orrechio) with miniature motors, custommade robotic arms and other electronic components. A preliminary user evaluation showed that participants feel more comfortable using expressive auricular postures with people they are familiar with, and that it is a welcome addition to the vocabulary of human body language.",https://doi.org/10.1145/3242587.3242629
38,Lee et al.,2018,Ear and Earable,Hand,"Drag (Ear), Dwell (Ear), Joystick (Ear), Lift (Ear), Tap (Ear), Toggle (Ear)",Camera,Yes,6,"Coarse, Semantic",No,Yes,No,No,Medium,Medium,N/A,N/A,Yes (N=20),No,No,Yes (N=32),Yes (N=32),No,No,Sitting,"Café, Lab",Custom Device,Research Prototype,Yes,No,"AR/VR, Device Control, Device Input","Augmented Reality, Hand-To-Face Input, Head Mounted Display, Social Acceptability, User Elicitation","Wearable head-mounted displays combine rich graphical output with an impoverished input space. Hand-to-face gestures have been proposed as a way to add input expressivity while keeping control movements unobtrusive. To better understand how to design such techniques, we describe an elicitation study conducted in a busy public space in which pairs of users were asked to generate unobtrusive, socially acceptable handto-face input actions. Based on the results, we describe five design strategies: miniaturizing, obfuscating, screening, camouflaging and re-purposing. We instantiate these strategies in two hand-to-face input prototypes, one based on touches to the ear and the other based on touches of the thumbnail to the chin or cheek. Performance assessments characterize time and error rates with these devices. The paper closes with a validation study in which pairs of users experience the prototypes in a public setting and we gather data on the social acceptability of the designs and reflect on the effectiveness of the different strategies.",https://dl.acm.org/doi/10.1145/3242587.3242642
39,Min et al. ,2018,Head Gestures and Pointing,Head,"Pitch, Yaw","Accelerometer, Gyroscope",Yes,2,Semantic,Yes,Yes,No,No,Medium,Medium,Low (N=10),N/A,No,No,No,No,No,Yes (N=10),No,Sitting,Lab,Earbud,Commercial,No,No,"Activity Recognition, Communication, Data Annotation, Emotion Recognition, Health","Audio Sensing, Earable, Earbud, Kinetic Sensing","In this paper, we explore audio and kinetic sensing on earable devices with the commercial on-the-shelf form factor. For the study, we prototyped earbud devices with a 6-axis inertial measurement unit and a microphone. We systematically investigate the differential characteristics of the audio and inertial signals to assess their feasibility in human activity recognition. Our results demonstrate that earable devices have a superior signal-to-noise ratio under the influence of motion artefacts and are less susceptible to acoustic environment noise. We then present a set of activity primitives and corresponding signal processing pipelines to showcase the capabilities of earbud devices in converting accelerometer, gyroscope, and audio signals into the targeted human activities with a mean accuracy reaching up to 88% in varying environmental conditions.",https://dl.acm.org/doi/10.1145/3211960.3211970
40,Nguyen et al.,2018,Mouth,"Teeth, Tongue","Grit, Press","Capacitive Sensor, EEG, EMG",Yes,10,Semantic,Yes,Yes,No,No,High,High,Medium (N=15),N/A,No,Yes (N=9),No,No,No,Yes (N=15),No,Sitting,Lab,Custom Device,Research Prototype,No,No,"AR/VR, Accessibility, Authentification, Device Control, Driving, Privacy","Brain-Muscles Sensing, Human Computer Interaction, Skin Deformation Sensing, Tongue-Teeth Typing, Wearable Devices","This paper explores a new wearable system, called TYTH, that enables a novel form of human computer interaction based on the relative location and interaction between the user’s tongue and teeth. TYTH allows its user to interact with a computing system by tapping on their teeth. This form of interaction is analogous to using a finger to type on a keypad except that the tongue substitutes for the finger and the teeth for the keyboard. We study the neurological and anatomical structures of the tongue to design TYTH so that the obtrusiveness and social awkwardness caused by the wearable is minimized while maximizing its accuracy and sensing sensitivity. From behind the user’s ears, TYTH senses the brain signals and muscle signals that control tongue movement sent from the brain and captures the miniature skin surface deformation caused by tongue movement. We model the relationship between tongue movement and the signals recorded, from which a tongue localization technique and tongue-teeth tapping detection technique are derived. Through a prototyping implementation and an evaluation with 15 subjects, we show that TYTH can be used as a form of hands-free human computer interaction with 88.61% detection rate and promising adoption rate by users.",https://doi.org/10.1145/3210240.3210322
41,Taniguchi et al.,2018,Mouth,Tongue,Press,Proximity Sensor,Yes,1,Semantic,Yes,Yes,Yes,No,High,High,High (N=5),Medium (N=5),No,No,No,No,No,Yes (N=5),No,"Chewing Gum, Sitting, Walking",Lab,Earbud,Research Prototype,Yes,No,Music Player,"Ear Canal, Hand-Free Controller, Non-Invasive, Optical Measurement, Tongue","In this study, an earphone-type interface named “earable TEMPO” was developed for hands-free operation, wherein the user can control the device by simply pushing the tongue against the roof of the mouth for about one second. This interface can be used to start and stop the music from a portable audio player. The earable TEMPO uses an earphone-type sensor equipped with a light emitting diode (LED) and a phototransistor to optically measure shape variations that occur in the external auditory meatus when the tongue is pressed against the roof of the mouth. To evaluate the operation of the earable TEMPO, experiments were performed on five subjects (men and women aged 22–58) while resting, chewing gum (representing mastication), and walking. The average accuracy was 100% while resting and chewing and 99% while walking. The precision was 100% under all conditions. The average recall value of the five subjects was 92%, 90%, and 48% while resting, masticating, and walking, respectively. All subjects were reliably able to perform the action of pressing the tongue against the roof of the mouth. The measured shape variations in the ear canal were highly reproducible, indicating that this method is suitable for various applications such as controlling a portable audio player.",https://www.mdpi.com/1424-8220/18/3/733
42,Amesaka et al.,2019,"Face, Head Gestures and Pointing, Mouth","Facial Expression, Head","Facial Gesture (Mouth), Roll","Microphone, Speaker",Yes,5,Semantic,Yes,Yes,No,No,Medium,High,Medium (N=11),N/A,No,No,No,No,No,Yes (N=11),No,Sitting,Lab,Earbud,Research Prototype,No,No,"Device Control, Device Input, Music Player","Ear Canal Transfer Function, Facial Expression Recognition, Hearables, Ultrasound","In this study, we propose a new input method for mobile and wearable computing using facial expressions. Facial muscle movements induce physical deformation in the ear canal. Our system utilizes such characteristics and estimates facial expressions using the ear canal transfer function (ECTF). Herein, a user puts on earphones with an equipped microphone that can record an internal sound of the ear canal. The system transmits ultrasonic band-limited swept sine signals and acquires the ECTF by analyzing the response. An important novelty feature of our method is that it is easy to incorporate into a product because the speaker and the microphone are equipped with many hearables, which is technically advanced electronic in-ear-device designed for multiple purposes. We investigated the performance of our proposed method for 21 facial expressions with 11 participants. Moreover, we proposed a signal correction method that reduces positional errors caused by attaching/detaching the device. The evaluation results confirmed that the f-score was 40.2% for the uncorrected signal method and 62.5% for the corrected signal method. We also investigated the practical performance of six facial expressions and confirmed that the f-score was 74.4% for the uncorrected signal method and 90.0% for the corrected signal method. We found the ECTF can be used for recognizing facial expressions with high accuracy equivalent to other related work.",https://dl.acm.org/doi/10.1145/3341163.3347747
43,Ferlini et al.,2019,Head Gestures and Pointing,Head,Yaw,"Accelerometer, Gyroscope, Magnetometer",Yes,1,Fine,Yes,Yes,No,No,Medium,High,N/A,N/A,No,No,No,No,No,No,Yes (N=10),"Eating, Speaking, Standing",Lab,Earbud,Commercial,Yes,No,"Accessibility, Motion Tracking","Earables, Head Motion Tracking, Visual Attention","Head tracking is a fundamental component in visual attention detection, which, in turn, can improve the state of the art of hearing aid devices. A multitude of wearable devices for the ear (so called earables) exist. Current devices lack a magnetometer which, as we will show, represents a big challenge when one tries to use them for accurate head tracking. In this work we evaluate the performance of eSense, a representative earable device, to track head rotations. By leveraging two different streams (one per earbud) of inertial data (from the accelerometer and the gyroscope), we achieve an accuracy up to a few degrees. We further investigate the interference generated by a magnetometer in an earable to understand the barriers to its use in these types of devices.",https://dl.acm.org/doi/10.1145/3345615.3361131
44,Hoelzemann et al.,2019,Ear and Earable,Hand,Press (Earable),Button,Yes,1,Semantic,No,Yes,Yes,No,Medium,High,N/A,N/A,No,Yes (N=7),No,No,No,No,No,"Sitting, Sports, Walking, Walking Stairs","Lab, Sports Site",Earbud,Commercial,Yes,No,Data Annotation,N/A,"Wearable activity recognition research needs benchmark data, which rely heavily on synchronizing and annotating the inertial sensor data, in order to validate the activity classifiers. Such validation studies become challenging when recording outside the lab, over longer stretches of time. This paper presents a method that uses an inconspicuous, earworn device that allows the wearer to annotate his or her activities as the recording takes place. Since the ear-worn device has integrated inertial sensors, we use cross-correlation over all wearable inertial signals to propagate the annotations over all sensor streams. In a feasibility study with 7 participants performing 6 different physical activities, we show that our algorithm is able to synchronize signals between sensors worn on the body using cross-correlation, typically within a second. A comfort rating scale study has shown that attachment is critical. Button presses can thus define markers in synchronized activity data, resulting in a fast, comfortable, and reliable annotation method.",https://dl.acm.org/doi/10.1145/3345615.3361136
45,Lee et al.,2019,Actuation,N/A,Vibration (Actuation),N/A,N/A,40,"Coarse, Semantic",Yes,Yes,Yes,N/A,High,High,N/A,N/A,No,No,Yes (N=14),No,No,No,No,Walking,Lab,Custom Device,Research Prototype,N/A,N/A,"AR/VR, Accessibility, Gaming, Music Player, Navigation","Digital Jewelry, Ear, Haptics, Smart Earring, Spatiotemporal Patterns, Wearable","The symmetric configuration and the sensitivity of ears in addition to the long tradition of earrings as adornment open up the possibility for smart ear-worn devices. Taking advantage of these attributes, past research mostly focused on creating novel unobtrusive sensing input devices and auditory displays placed on the ear. Meanwhile, the tactile sensitivity of the ear has long been overshadowed by its auditory capacity, presenting the opportunity to investigate how ears can be exploited for unobtrusive tactile information transfer. With three studies and a total of 38 participants, we suggest the design of ActivEarring, a ear-worn device capable of imparting information by stimulating six different locations on both ears. We evaluated the performance of ActivEarring in a semi-realistic mobile condition and its practical use for information transfer with spatiotemporal patterns. Finally, we demonstrate that ActivEarring can be incorporated in common jewelry design, and present three applications that illustrate promising usage scenarios.",https://ieeexplore.ieee.org/document/8750808
46,Lee et al.,2019,Face,Facial Expression,"Facial Gesture (Other), Smile","Accelerometer, Gyroscope",Yes,2,Semantic,Yes,Yes,Yes,No,Low,Medium,Medium (N=9),Medium (N=9),No,No,No,No,No,Yes (N=9),No,"Sitting, Standing, Walking",Lab,Earbud,Commercial,No,No,"Music Player, Phone Calls","Earable, Facs, Frown Recognition, Kinetic Modeling, Smile Recognition","In this paper, we introduce inertial signals obtained from an earable placed in the ear canal as a new compelling sensing modality for recognising two key facial expressions: smile and frown. Borrowing principles from Facial Action Coding Systems, we first demonstrate that an inertial measurement unit of an earable can capture facial muscle deformation activated by a set of temporal microexpressions. Building on these observations, we then present three different learning schemes - shallow models with statistical features, hidden Markov model, and deep neural networks to automatically recognise smile and frown expressions from inertial signals. The experimental results show that in controlled non-conversational settings, we can identify smile and frown with high accuracy (F1 score: 0.85).",https://doi.org/10.1145/3311823.3311869
47,Nasser et al.,2019,Actuation,N/A,Thermal (Actuaction),N/A,N/A,1,Fine,Yes,Yes,Yes,N/A,High,High,N/A,N/A,No,No,No,No,No,No,No,Sitting,Lab,Custom Device,Research Prototype,N/A,N/A,"AR/VR, Accessibility","Earable Display, Earable Interfaces, Thermal Earable, Thermal Wearable","Earables/hearables (ear-worn devices) are on the rise as nextgeneration wearables which are capable of streaming audio, modifying soundscapes, and collecting body vitals. This paper introduces a novel concept of an earable device that can provide thermal (hot and cold) haptic cues at multiple areas around the ear. The concept with discrete thermal encoding can help the hearing and visually impaired individuals to obtain directional and other notifications from mobile and IoT devices. Embedding thermal haptic feedback into an earable form factor have a better edge in terms of privacy of notifications when compared to audio, visual, and vibrohaptic modalities. We conducted a pilot study using a proof-of-concept prototype and confirmed the feasibility of the concept.",https://doi.org/10.1145/3308561.3354636
48,Odoemelem et al.,2019,Head Gestures and Pointing,Head,"Pitch, Roll","Accelerometer, Gyroscope",Yes,2,Fine,Yes,Yes,Yes,Yes,Medium,High,N/A,N/A,No,No,No,No,No,No,No,N/A,N/A,Earbud,Commercial,Yes,No,"Accessibility, Device Control, Motion Tracking",N/A,"Head motion-based interfaces for controlling robot arms in real time have been presented in both medical-oriented research as well as human-robot interaction. We present an especially minimal and low-cost solution that uses the eSense [1] ear-worn prototype as a small head-worn controller, enabling direct control of an inexpensive robot arm in the environment. We report on the hardware and software setup, as well as the experiment design and early results.",https://dl.acm.org/doi/10.1145/3345615.3361138
49,Shirota et al.,2019,Actuation,N/A,Deformation (Actuation),N/A,N/A,1,Coarse,Yes,Yes,No,N/A,Medium,Medium,N/A,N/A,No,No,No,No,No,No,No,Sitting,Lab,Headphone,Research Prototype,N/A,N/A,"AR/VR, Navigation","Actuating Human Body, Ear, Sound Illusion,Sound Direction, Wearable Pinna Device","This study demonstrates that by opening and closing the human pinna, we can change the direction of sound perceived by humans. Each ear was independently transformed into a 100% open, 50% open, and 100% closed state, and all 9 combinations of these ear transformations were tested to evaluate the perceived direction of the sound output from 7 speakers placed 180 degrees around the subject. We demonstrate that by deforming the pinna, we could change the perception of the direction of sound, or make it illusory. We also found that except for 1 out of 7 speakers (or directions of sound), closing 100% of the ear on the side of the speaker where the sound is coming from and 50% of the ear on the other side of the speaker tends produce the most alteration to the perceived direction of sound.",https://doi.org/10.1145/3341163.3347725
50,Vega Gálvez et al.,2019,Mouth,Teeth,Click,"Accelerometer, Gyroscope",Yes,4,Semantic,Yes,Yes,Yes,No,High,High,Medium,N/A,No,No,No,No,No,Yes,No,Sitting,Lab,Custom Device,Research Prototype,No,No,Device Control,"Discreet Interfaces, Hands-Free Interaction, Microgestures, Teeth Gestures","Byte.it is an exploration of the feasibility of using miniaturized, discreet hardware for teeth-clicking as hands-free input for wearable computing. Prior work has been able to identify teeth-clicking of different teeth groups. Byte.it expands on this work by exploring the use of a smaller and more discreetly positioned sensor suite (accelerometer and gyroscope) for detecting four different teethclicks for everyday human-computer interaction. Initial results show that an unobtrusive position on the lower mastoid and mandibular condyle can be used to classify teeth-clicking of four different teeth groups with an accuracy of 89%.",https://doi.org/10.1145/3290607.3312925
51,Yan et al.,2019,Hand Gestures and Location,Hand,Cover (Face),Microphone,Yes,1,Semantic,No,Yes,No,No,Medium,Medium,High (N=12),Medium (N=12),No,Yes (N=12),Yes (N=12),Yes (N=17),Yes (N=17),Yes (N=12),No,Sitting,"Lab, Office",Earbud,Commercial,Yes,No,"AR/VR, Device Input, Privacy","Hand Gesture, Voice Input","We introduce PrivateTalk, an on-body interaction technique that allows users to activate voice input by performing the Hand-On-Mouth gesture during speaking. The gesture is per formed as a hand partially covering the mouth from one side. PrivateTalk provides two benefits simultaneously. First, it enhances privacy by reducing the spread of voice while also concealing the lip movements from the view of other people in the environment. Second, the simple gesture removes the need for speaking wake-up words and is more accessible than a physical/software button especially when the device is not in the user’s hands. To recognize the Hand-On-Mouth gesture, we propose a novel sensing technique that leverages the differ ence of signals received by two Bluetooth earphones worn on the left and right ear. Our evaluation shows that the gesture can be accurately detected and users consistently like PrivateTalk and consider it intuitive and effective.",https://dl.acm.org/doi/10.1145/3332165.3347950
52,Cao et al.,2020,Ear and Earable,Wearable State,Wear (Earable),"Microphone, Speaker",Partly,1,Fine,Yes,Yes,Yes,No,High,High,N/A,N/A,No,No,No,No,No,No,Yes (N=5),"Distance, Obstacles, Walking",Lab,Earbud,Commercial,Yes,No,"AR/VR, Device Control, Device Input, Motion Tracking","Earable Sensing, Earphone-Based Acoustic Sensing, Motion Tracking","Acoustic motion tracking is an exciting new research area with promising progress in the last few years. Due to the inherent low propagation speed in the air, acoustic signals have the unique advantage of fine sensing granularity compared to RF signals. Speakers and microphones nowadays are pervasively available in devices surrounding us, such as smartphones and voice-controlled smart speakers. Though promising, one fundamental issue hindering the adoption of acoustic-based motion tracking is that the positions of microphones and speakers inside a device are fixed, which greatly limits the flexibility of acoustic motion tracking. In this work, we propose a new modality of acoustic motion tracking using earphones. Earphone-based tracking mitigates the constraints associated with traditional smartphone-based tracking. With novel designs and comprehensive experiments, we show earphone-based motion tracking can achieve a great flexibility and a high accuracy at the same time. We believe this is an important step towards “earable” sensing.",https://dl.acm.org/doi/10.1145/3384419.3430730
53,Chen et al.,2020,"Ear and Earable, Hand Gestures and Location",N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes (N=27),Yes (N=27),No,No,Yes (N=27),No,No,Sitting,Lab,N/A,N/A,N/A,N/A,"Device Control, Device Input, Music Player, Phone Calls","Ear-Based Input, Gestures, Guessability, Think-Aloud, User-Defined","The human ear is highly sensitive and accessible, making it especially suitable for being used as an interface for interacting with smart earpieces or augmented glasses. However, previous works on ear-based input mainly address gesture sensing technology and researcher-designed gestures. This paper aims to bring more understandings of gesture design. Thus, for a user elicitation study, we recruited 28 participants, each of whom designed gestures for 31 smart device-related tasks. This resulted in a total of 868 gestures generated. Upon the basis of these gestures, we compiled a taxonomy and concluded the considerations underlying the participants’ designs that also offer insights into their design rationales and preferences. Thereafter, based on these study results, we propose a set of user-defined gestures and share interesting findings. We hope this work can shed some light on not only sensing technologies of ear-based input, but also the interface design of future wearable interfaces.",https://dl.acm.org/doi/10.1145/3427314
54,Chen et al.,2020,Face,Facial Expression,"Facial Gesture (Eye), Facial Gesture (Mouth), Facial Gesture (Other), Smile",Camera,Yes,30,Semantic,Yes,Visual Attention,No,Yes,Low,Low,Medium (N=9),N/A,No,No,No,No,No,Yes (N=9),Yes (N=9),"Glasses, Mask, Sitting, Wearing Styles",Lab,"Earbud, Headphone",Research Prototype,No,No,"Communication, Customer Analytics, Emotion Recognition, Feedback System, Silent Speech","Computer Vision, Deep Learning, Ear Sensing, Emoji Recognition, Facial Expression Reconstruction and Tracking, Silent Speech, Wearable Computing","C-Face (Contour-Face) is an ear-mounted wearable sensing technology that uses two miniature cameras to continuously reconstruct facial expressions by deep learning contours of the face. When facial muscles move, the contours of the face change from the point of view of the ear-mounted cameras. These subtle changes are fed into a deep learning model which continuously outputs 42 facial feature points representing the shapes and positions of the mouth, eyes and eyebrows. To evaluate C-Face, we embedded our technology into headphones and earphones. We conducted a user study with nine participants. In this study, we compared the output of our system to the feature points outputted by a state of the art computer vision library (Dlib1) from a font facing camera. We found that the mean error of all 42 feature points was 0.77 mm for earphones and 0.74 mm for headphones. The mean error for 20 major feature points capturing the most active areas of the face was 1.43 mm for earphones and 1.39 mm for headphones. The ability to continuously reconstruct facial expressions introduces new opportunities in a variety of applications. As a demonstration, we implemented and evaluated C-Face for two applications: facial expression detection (outputting emojis) and silent speech recognition. We further discuss the opportunities and challenges of deploying C-Face in real-world applications.",http://dx.doi.org/10.1145/3379337.3415879
55,Kaveh et al.,2020,"Brain, Eye-Tracking",Eye,Blink,EEG,Yes,1,Semantic,Yes,No,Yes,No,Medium,Medium,N/A,N/A,No,No,No,No,No,No,Yes (N=3),Sitting,Lab,Custom Device,Research Prototype,No,No,"Bci-Application, Device Input","BCI, Dry Electrodes, EEG, Ear EEG, User-Generic, Wireless Neural Recording","In the past few years it has been demonstrated that electroencephalography (EEG) can be recorded from inside the ear (in-ear EEG). To open the door to low-profile earpieces as wearable brain-computer interfaces (BCIs), this work presents a practical in-ear EEG device based on multiple dry electrodes, a user-generic design, and a lightweight wireless interface for streaming data and device programming. The earpiece is designed for improved ear canal contact across a wide population of users and is fabricated in a low-cost and scalable manufacturing process based on standard techniques such as vacuum forming, plasma-treatment, and spray coating. A 2.5 × 2.5 cm2 wireless recording module is designed to record and stream data wirelessly to a host computer. Performance was evaluated on three human subjects over three months and compared with clinical-grade wet scalp EEG recordings. Recordings of spontaneous and evoked physiological signals, eye-blinks, alpha rhythm, and the auditory steady-state response (ASSR), are presented. This is the first wireless in-ear EEG to our knowledge to incorporate a dry multielectrode, user-generic design. The user-generic ear EEG recorded a mean alpha modulation of 2.17, outperforming the state-of-the-art in dry electrode in-ear EEG systems.",https://ieeexplore.ieee.org/abstract/document/9115876
56,Prakash et al.,2020,Mouth,Teeth,"Click, Slide",Speaker,Yes,9,Semantic,Yes,Yes,No,No,High,High,Medium (N=18),Medium (N=18),No,No,No,No,No,Yes (N=18),No,"Cooking, Cycling, Device, Head Movement, Sitting, Speaking, Walking",Lab,Earbud,Commercial,Yes,No,"Accessibility, Authentification, Device Control, Device Input, Health, Privacy","Earable, Earphones, Headphones, Teeth Gestures, User Interface, Vibroacoustics","This paper finds that actions of the teeth, namely tapping and sliding, produce vibrations in the jaw and skull. These vibrations are strong enough to propagate to the edge of the face and produce vibratory signals at an earphone. By re-tasking the earphone speaker as an input transducer – a software modification in the sound card – we are able to sense teeth-related gestures across various models of ear/headphones. In fact, by analyzing the signals at the two earphones, we show the feasibility of also localizing teeth gestures, resulting in a human-to-machine interface. Challenges range from coping with weak signals, distortions due to different teeth compositions, lack of timing resolution, spectral dispersion, etc. We address these problems with a sequence of sensing techniques, resulting in the ability to detect 6 distinct gestures in real-time. Results from 18 volunteers exhibit robustness, even though our system – EarSense does not depend on per-user training. Importantly, EarSense also remains robust in the presence of concurrent user activities, like walking, nodding, cooking and cycling. Our ongoing work is focused on detecting teeth gestures even while music is being played in the earphone; once that problem is solved, we believe EarSense could be even more compelling.",https://doi.org/10.1145/3372224.3419197
57,Xu et al.,2020,"Ear and Earable, Hand Gestures and Location",Hand,"Slide (Ear), Slide (Face), Tap (Ear), Tap (Face)",Microphone,Yes,8,Semantic,No,Yes,Yes,Yes,Medium,High,High (N=18),Medium (N=18),Yes (N=16),Yes (N=12),Yes (N=16),No,Yes (N=16),Yes (N=18),No,"Noise, Sitting",Lab,Earbud,Commercial,Yes,No,"AR/VR, Communication, Device Input, Music Player, Phone Calls","Face and Ear Interaction, Gesture Recognition, Wireless Earbuds","Past research regarding on-body interaction typically requires custom sensors, limiting their scalability and generalizability. We propose EarBuddy, a real-time system that leverages the microphone in commercial wireless earbuds to detect tapping and sliding gestures near the face and ears. We develop a design space to generate 27 valid gestures and conducted a user study (N=16) to select the eight gestures that were optimal for both human preference and microphone detectability. We collected a dataset on those eight gestures (N=20) and trained deep learning models for gesture detection and classification. Our optimized classifier achieved an accuracy of 95.3%. Finally, we conducted a user study (N=12) to evaluate EarBuddy’s usability. Our results show that EarBuddy can facilitate novel interaction and that users feel very positively about the system. EarBuddy provides a new eyes-free, socially acceptable input method that is compatible with commercial wireless earbuds and has the potential for scalability and generalizability.",https://dl.acm.org/doi/10.1145/3313831.3376836
58,Yang et al.,2020,Head Gestures and Pointing,Head,"Pitch, Roll, Yaw","Accelerometer, Gyroscope",No,1,Fine,Yes,Visual Attention,No,No,Medium,High,Medium (N=7),N/A,No,No,No,No,No,Yes (N=7),Yes (N=7),"Standing, Walking",University Building,Headphone,Commercial,Yes,No,"AR/VR, Activity Recognition","Acoustics, Augmented Reality, Dead Reckoning, Head Related Transfer Function (HRTF), Indoor Localization, Inertial Measurement Unit (IMU), Motion Tracking, Sensor Fusion, Smart Earphones, Spatial Audio, Wearable Computing","This paper aims to use modern earphones as a platform for acoustic augmented reality (AAR). We intend to play 3D audio-annotations in the user’s ears as she moves and looks at AAR objects in the environment. While companies like Bose and Microsoft are beginning to release such capabilities, they are intended for outdoor environments. Our system aims to explore the challenges indoors, without requiring any infrastructure deployment. Our core idea is two-fold. (1) We jointly use the inertial sensors (IMUs) in earphones and smartphones to estimate a user’s indoor location and gazing orientation. (2) We play 3D sounds in the earphones and exploit the human’s responses to (re)calibrate errors in location and orientation. We believe this fusion of IMU and acoustics is novel, and could be an important step towards indoor AAR. Our system, Ear-AR, is tested on 7 volunteers invited to an AAR exhibition – like a museum – that we set up in our building’s lobby and lab. Across 60 different test sessions, the volunteers browsed different subsets of 24 annotated objects as they walked around. Results show that Ear-AR plays the correct audio-annotations with good accuracy. The user-feedback is encouraging and points to further areas of research and applications.",https://dl.acm.org/doi/10.1145/3372224.3419213
59,Fan et al.,2021,Ear and Earable,"Hand, Wearable State","Slide (Earable), Tap (Earable)",Pressure Sensor,Yes,2,Semantic,No,Yes,No,No,Medium,High,High (N=1),Medium (N=1),No,No,No,No,No,Yes (N=1),No,"Music, Sitting",Lab,Custom Device,Research Prototype,No,No,"Device Control, Music Player","Earable Computing, Heartrate Monitoring, Touch Gesture Control, User Identification, Voice Communication, Wearable Devices","Headphones continue to become more intelligent as new functions (e.g., touch-based gesture control) appear. These functions usually rely on auxiliary sensors (e.g., accelerometer and gyroscope) that are available in smart headphones. However, for those headphones that do not have such sensors, supporting these functions becomes a daunting task. This paper presents HeadFi, a new design paradigm for bringing intelligence to headphones. Instead of adding auxiliary sensors into headphones, HeadFi turns the pair of drivers that are readily available inside all headphones into a versatile sensor to enable new applications spanning across mobile health, user-interface, and context-awareness. HeadFi works as a plug-in peripheral connecting the headphones and the pairing device (e.g., a smartphone). The simplicity (can be as simple as only two resistors) and small form factor of this design lend itself to be embedded into the pairing device as an integrated circuit. We envision HeadFi can serve as a vital supplementary solution to existing smart headphone design by directly transforming large amounts of existing “dumb” headphones into intelligent ones. We prototype HeadFi on PCB and conduct extensive experiments with 53 volunteers using 54 pairs of non-smart headphones under the institutional review board (IRB) protocols. The results show that HeadFi can achieve 97.2%–99.5% accuracy on user identification, 96.8%–99.2% accuracy on heart rate monitoring, and 97.7%–99.3% accuracy on gesture recognition.",https://dl.acm.org/doi/10.1145/3447993.3448624
