,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Main Author,Year,Location,Filter,Input Body Part,Gesture,Sensors,No Additional Sensing,Number of Selected Gestures,Resolution,Hands- Free,Eyes- Free,Possible on One Ear,Adaptation of the Interaction Detection Algorithm to the Individual User,Discreetness of Interaction Techniques,Social Acceptability of Interaction Techniques,Accuracy of Interaction Recognition,Robustness of Interaction Detection,Elicitation Study,Usability Evaluations,Cognitive Ease Evaluations,Discreetness of Interactions Evaluations,Social Acceptability of Interactions Evaluations,Accuracy of Interactions Evaluation,Alternative Interaction Validity Evaluations,Evaluation of Different Conditions,Evaluations of Different Settings,Earphone Type,Development Stage,Real-Time Processing,On Device Processing,Motivations (Notes),Motivations,Intended Applications,Keywords,Abstract,DB ID,Citation,Study Link,DONE,Discreetness of Interaction Techniques - MK,Social Acceptability of Interaction Techniques - MK,Elemental Task,Degrees of Freedom,Resolution - Alt,Spatial,No. of proposed Semantic Gestures,Discrete,Continuous,Active Feedback,Theoretical Grounding of Interaction Techniques,Usability,"Device 
Appearance","Cognitive 
Ease",Multi-Gesture Detection,Composite Evaluative Score
[12],Matthies et al.,2017,"Face, Head Gestures and Pointing",In,"Facial Expression, Head","Smile, Facial Gesture (Mouth), Facial Gesture (Eye), Pitch, Yaw","EMG, Capacitive Sensor, Electrical Field Sensing",Yes,15,Semantic,Yes,Visual Attention,No,No,Low,Low,Low (N=1),Medium (N=3),No,No,No,No,No,Yes (N=1),No,Sitting,Lab,"Earbud, Custom Device",Research Prototype,No,No,"EarFieldSensing (EarFS) is a novel input method for mobile and wearable computing using facial expressions.; Therefore, we make use of a facial expression control in the manner of microinteractions »...because they may minimize interruption; that is, they allow for a tiny burst of interaction with a device so that the user can quickly return to the task at hand.",,Device Input,"Electric field sensing, body potential sensing, facial expression control, wearable computing, hands-fee, eyes-free","EarFieldSensing (EarFS) is a novel input method for mobile and wearable computing using facial expressions. Facial muscle movements induce both electric field changes and physical deformations, which are detectable with electrodes placed inside the ear canal. The chosen ear-plug form factor is rather unobtrusive and allows for facial gesture recognition while utilizing the close proximity to the face. We collected 25 facial-related gestures and used them to compare the performance levels of several electric sensing technologies (EMG, CS, EFS, EarFS) with varying electrode setups. Our developed wearable fine-tuned electric field sensing employs differential amplification to effectively cancel out environmental noise while still being sensitive towards small facial-movement-related electric field changes and artifacts from ear canal deformations. By comparing a mobile with a stationary scenario, we found that EarFS continues to perform better in a mobile scenario. Quantitative results show EarFS to be capable of detecting a set of 5 facial gestures with a precision of 90% while sitting and 85.2% while walking. We provide detailed instructions to enable replication of our low-cost sensing device. Applying it to different positions of our body will also allow to sense a variety of other gestures and activities.",35,,https://dl.acm.org/doi/10.1145/3025453.3025692,DONE,,,"Selection, Path, Orientation",2,X,relative,15,Yes,No,X,Not Present,Not Indicated,Low (Derived),Not Indicated,Present,18%
[111],Wang et al.,2017,"Face, Eye-Tracking",In,"Facial Expression, Gaze",,"EOG, EMG",,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,Device Control,,,36,,,,,,Selection,2,coarse (4),relative,,Yes,No,,,,,,,
[117],Ahn et al.,2018,Brain,In,Brain Activity,,EEG,,,,,,,,,,,,,,,,,,,,,,,,,,,BCI Applic.,,,37,,,,,,,,,,,,,,,,,,,
[177],Carioli et al.,2018,Mouth,Enabling,Jaw,General Jaw Movement,Piezoelectric Sensor,Yes,1,Fine,Yes,Yes,Yes,No,Medium,Medium,N/A,N/A,No,No,No,No,No,No,Yes (N=4),Sitting,Lab,Earbud,Research Prototype,No,No,"Direct measurement of the earcanal deformation is particularly challenging due to the non-uniform shape of the earcanal, the complex strains exhibited and the variation of earcanal shape and deformation among individuals.; ",,Motion Tracking,"Bending of curved surfaces, earcanal deformation, piezoelectric sensor","The earcanal shape is unique for each human being and temporarily changes when the jaw moves due to eating, chewing, or speaking. The earcanal deformation can be studied by the geometrical analysis of a distorted earpiece custom-fitted inside the earcanal, but the distortion of the earpiece is complex in nature and complicated to analyze. An earcanal bending sensor consisting of a thin piezoelectric strip attached to a customfitted earpiece is presented in this paper. An analytical approach based on computing the geometrical parameters of distorted and undistorted earpieces is developed to: 1) estimate the average bending moment and the resulting stress applied to the customfitted earpiece while opening the jaw and 2) calculate the sensitivity of the piezoelectric earcanal bending sensor. The theoretical model is experimentally validated. The proposed approach can be applied to measure the bending of any curved body in general, and custom-fitted earpieces in particular. It, therefore, enables the designing of versatile in-ear sensors capable of tracking jaw activity and evaluating the energy capacity of earcanal deformation for in-ear energy harvesting purposes.",38,,https://ieeexplore.ieee.org/document/8194832,DONE,,,,,,,,,,,,,,,,
[91],Favre-Felix et al.,2018,Eye-Tracking,In,Gaze,,EOG,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,Accessibility,,,39,,,,,,Selection,1,coarse (3),absolute,,Yes,No,,,,,,,
[296],Rateau et al.,2022,"Ear and Earable, Hand Gestures and Location",Elicitation,Not Applicable,Not Applicable,Not Applicable,Not Indicated,0,Not Applicable,Not Applicable,Not Applicable,Not Indicated,Not Indicated,Not Applicable,Not Applicable,Not Indicated,Not Indicated,Yes (N=20),No,No,No,Yes (N=50),No,No,Sitting,Remote Setting,Earbud,Commercial,Not Indicated,Not Indicated,"The specific example we explore in this paper combines smart earbuds with a proximal smartwatch to support input specifically geared toward smartwatch and smartwatch-earbud interactions.; it becomes necessary to increase the set of gestures to include control of multiple wearable devices.; interactions with multiple smart devices may result in different gestures and the social acceptability of these gestures may vary.; when users are aware of the fact that multiple personal devices can sense input, it may be advisable to adapt gesture design.",,"Phone Calls, Music Player, Device Control, Device Input, Communication","elicitation study, smartwatch, earbuds, wearables","Due to the proliferation of smart wearables, it is now the case that designers can explore novel ways that devices can be used in combination by end-users. In this paper, we explore the gestural input enabled by the combination of smart earbuds coupled with a proximal smartwatch. We identify a consensus set of gestures and a taxonomy of the types of gestures participants create through an elicitation study. In a follow-on study conducted on Amazon’s Mechanical Turk, we explore the social acceptability of gestures enabled by watch+earbud gesture capture. While elicited gestures continue to be simple, discrete, in-context actions, we find that elicited input is frequently abstract, varies in size and duration, and is split almost equally between on-body, proximal, and more distant actions. Together, our results provide guidelines for on-body, near-ear, and in-air input using earbuds and a smartwatch to support gesture capture.",87,,https://dl.acm.org/doi/10.1145/3567710,DONE,,,,,,,,,,,,,,,,
[31],Huang et al.,2018,Actuation,Enabling,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,
[18],Lee et al.,2018,Ear and Earable,In,Hand,"Tap (Ear), Lift (Ear), Dwell (Ear), Joystick (Ear), Drag (Ear), Toggle (Ear)",Camera,Yes,6,"Semantic, Coarse",No,Yes,No,No,Medium,Medium,N/A,N/A,Yes (N=20),No,No,Yes (N=32),Yes (N=32),No,No,Sitting,"Café, Lab",Custom Device,Research Prototype,Yes,No,"However, while aspects such as tracking fidelity, display quality and computing power have advanced considerably to produce today’s high-end products, input and interaction technologies are less mature.; Recognizing the need for input systems for AR glasses that leave the hands unencumbered; We argue there is a need to improve our understanding of how users conceive of touches to the face as an input modality [31] to better inform future design and development efforts. Specifically, we argue that a key omission in our current understanding relates to the social acceptability [29] of facial touches - how comfortable users feel performing or observing this type of input in real life situations.",,"Device Input, AR/VR, Device Control","Hand-to-Face Input, Social Acceptability, User Elicitation, Augmented Reality, Head Mounted Display","Wearable head-mounted displays combine rich graphical output with an impoverished input space. Hand-to-face gestures have been proposed as a way to add input expressivity while keeping control movements unobtrusive. To better understand how to design such techniques, we describe an elicitation study conducted in a busy public space in which pairs of users were asked to generate unobtrusive, socially acceptable handto-face input actions. Based on the results, we describe five design strategies: miniaturizing, obfuscating, screening, camouflaging and re-purposing. We instantiate these strategies in two hand-to-face input prototypes, one based on touches to the ear and the other based on touches of the thumbnail to the chin or cheek. Performance assessments characterize time and error rates with these devices. The paper closes with a validation study in which pairs of users experience the prototypes in a public setting and we gather data on the social acceptability of the designs and reflect on the effectiveness of the different strategies.",41,,https://dl.acm.org/doi/10.1145/3242587.3242642,DONE,,,"Selection, Position",1,"coarse (6), coarse (3), coarse (5)",absolute,~33,Yes,Yes,Coupled,Present (N=20),Not Indicated,Low (Derived),Not Indicated,Not Indicated,28%
[610],Min et al. ,2018,Head Gestures and Pointing,In,Head,"Pitch, Yaw","Accelerometer, Gyroscope",Yes,2,Semantic,Yes,Yes,No,No,Medium,Medium,Low(N=10),N/A,No,No,No,No,No,Yes (N=10),No,Sitting,Lab,Earbud,Commercial,No,No,"In this paper, we explore audio and kinetic sensing on earable devices with the commercial on-the-shelf form factor.",,"Health, Communication, Data Annotation, Emotion Recognition, Activity Recognition","Earable, Earbud, Audio sensing, Kinetic sensing","In this paper, we explore audio and kinetic sensing on earable devices with the commercial on-the-shelf form factor. For the study, we prototyped earbud devices with a 6-axis inertial measurement unit and a microphone. We systematically investigate the differential characteristics of the audio and inertial signals to assess their feasibility in human activity recognition. Our results demonstrate that earable devices have a superior signal-to-noise ratio under the influence of motion artefacts and are less susceptible to acoustic environment noise. We then present a set of activity primitives and corresponding signal processing pipelines to showcase the capabilities of earbud devices in converting accelerometer, gyroscope, and audio signals into the targeted human activities with a mean accuracy reaching up to 88% in varying environmental conditions.",42,,https://dl.acm.org/doi/10.1145/3211960.3211970,DONE,,,"Selection, Path, Orientation",2,X,relative,2,Yes,No,X,Not Present,Not Indicated,High (Derived),Not Indicated,Present,22%
[65],Nguyen et al.,2018,Mouth,In,"Tongue, Teeth","Press, Grit","Capacitive Sensor, EEG, EMG",,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,"Authentification, Accessibility, Privacy, Device Control",,,43,,,,,,Selection,3,coarse (11),absolute,,Yes,No,,,,,,,
[60],Taniguchi et al.,2018,Mouth,In,Tongue,Press,Proximity Sensor,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,Music Player,,,44,,,,,,Selection,X,X,X,,Yes,No,,,,,,,
[8],Amesaka et al.,2019,"Face, Head Gestures and Pointing, Mouth",In,"Facial Expression, Head","Facial Gesture (Mouth), Roll","Microphone, Speaker",Yes,5,Semantic,Yes,Yes,No,No,Medium,High,Medium (N=11),N/A,No,No,No,No,No,Yes (N=11),No,Sitting,Lab,Earbud,Research Prototype,No,No,"propose a new input method for mobile and wearable computing using facial expressions.; An important novelty feature of our method is that it is easy to incorporate into a product because the speaker and the microphone are equipped with many hearables, which is technically advanced electronic in-ear-device designed for multiple purposes.; Considering wearable computing environments, an advanced handsfree input method is required because our hands may be occupied in some situations such as cooking, walking with luggage, among other things. Speech recognition systems can be used as a handsfree input method; however, speaking in quiet public places is difficult, and audible sounds can be easily contaminated by environmental noise.",,"Device Control, Device Input, Music Player","facial expression recognition, ultrasound, ear canal transfer function, hearables","In this study, we propose a new input method for mobile and wearable computing using facial expressions. Facial muscle movements induce physical deformation in the ear canal. Our system utilizes such characteristics and estimates facial expressions using the ear canal transfer function (ECTF). Herein, a user puts on earphones with an equipped microphone that can record an internal sound of the ear canal. The system transmits ultrasonic band-limited swept sine signals and acquires the ECTF by analyzing the response. An important novelty feature of our method is that it is easy to incorporate into a product because the speaker and the microphone are equipped with many hearables, which is technically advanced electronic in-ear-device designed for multiple purposes. We investigated the performance of our proposed method for 21 facial expressions with 11 participants. Moreover, we proposed a signal correction method that reduces positional errors caused by attaching/detaching the device. The evaluation results confirmed that the f-score was 40.2% for the uncorrected signal method and 62.5% for the corrected signal method. We also investigated the practical performance of six facial expressions and confirmed that the f-score was 74.4% for the uncorrected signal method and 90.0% for the corrected signal method. We found the ECTF can be used for recognizing facial expressions with high accuracy equivalent to other related work.",45,,https://dl.acm.org/doi/10.1145/3341163.3347747,DONE,,,"Selection, Orientation, Path",2,X,relative,20,Yes,No,X,Present (N=11),Not Indicated,Medium (Derived),Not Indicated,Present,31%
[80],Ferlini et al.,2019,Head Gestures and Pointing,Enabling,Head,Yaw,"Accelerometer, Gyroscope, Magnetometer",Yes,1,Fine,Yes,Yes,No,No,Medium,High,N/A,N/A,No,No,No,No,No,No,Yes (N=10),"Eating, Speaking, Standing",Lab,Earbud,Commercial,Yes,No,"Earables, like the eSense platform we evaluate in this paper, have an enormous and mostly unexploited potential. For instance, if adopted as hearing-aids, earables could be used both as sensors and actuators.; In this work, we focus on the evaluation of the eSense platform [7, 12] in tracking the head movements of a user concentrating on a specific spatial point.; By tracking instantaneous head movements as a proxy to track visual attention, our study shows how a system, that relies only on accelerometer and gyroscope, can still provide useful insights on where a person is facing.; his paper lays the foundations of a line of work aiming to sense and characterize human attention through earables, wearables that are neither socially-awkward, nor cumbersome, unusable or unrealistic (e.g. combining an hearing-aid with a pair of eye-tracking glasses). Lastly, it sheds light on how a magnetometer would behave if placed in an earable.",,"Accessibility, Motion Tracking","Earables, Head Motion Tracking, Visual Attention","Head tracking is a fundamental component in visual attention detection, which, in turn, can improve the state of the art of hearing aid devices. A multitude of wearable devices for the ear (so called earables) exist. Current devices lack a magnetometer which, as we will show, represents a big challenge when one tries to use them for accurate head tracking. In this work we evaluate the performance of eSense, a representative earable device, to track head rotations. By leveraging two different streams (one per earbud) of inertial data (from the accelerometer and the gyroscope), we achieve an accuracy up to a few degrees. We further investigate the interference generated by a magnetometer in an earable to understand the barriers to its use in these types of devices.",46,,https://dl.acm.org/doi/10.1145/3345615.3361131,DONE,,,,,,,,,,,,,,,,
[77],Hoelzemann et al.,2019,Ear and Earable,In,Hand,Press (Earable),Button,Yes,1,Semantic,No,Yes,Yes,No,Medium,High,N/A,N/A,No,Yes (N=7),No,No,No,No,No,"Sitting, Walking, Walking Stairs, Sports","Lab, Sports Site",Earbud,Commercial,Yes,No,"Wearable activity recognition research needs benchmark data, which rely heavily on synchronizing and annotating the inertial sensor data, in order to validate the activity classifiers. Such validation studies become challenging when recording outside the lab, over longer stretches of time.; It would allow the users to annotate their data without much effort in a socially comfortable way, which also enables ’in the wild’ experiments as study volunteers annotate activities in their daily lives.",,Data Annotation,N/A,"Wearable activity recognition research needs benchmark data, which rely heavily on synchronizing and annotating the inertial sensor data, in order to validate the activity classifiers. Such validation studies become challenging when recording outside the lab, over longer stretches of time. This paper presents a method that uses an inconspicuous, earworn device that allows the wearer to annotate his or her activities as the recording takes place. Since the ear-worn device has integrated inertial sensors, we use cross-correlation over all wearable inertial signals to propagate the annotations over all sensor streams. In a feasibility study with 7 participants performing 6 different physical activities, we show that our algorithm is able to synchronize signals between sensors worn on the body using cross-correlation, typically within a second. A comfort rating scale study has shown that attachment is critical. Button presses can thus define markers in synchronized activity data, resulting in a fast, comfortable, and reliable annotation method.",47,,https://dl.acm.org/doi/10.1145/3345615.3361136,DONE,,,Position,X,X,X,1,Yes,No,X,Not Present,Medium (N=7),High (Derived),Not Indicated,Not Indicated,31%
[106],Lee et al.,2019,Actuation,Enabling,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,
[275],Shimon et al.,2024,"Ear and Earable, Hand Gestures and Location",Elicitation,Not Applicable,Not Applicable,Not Applicable,Not Indicated,0,Not Applicable,Not Applicable,Not Applicable,Not Indicated,Not Indicated,Not Applicable,Not Applicable,Not Indicated,Not Indicated,Yes (N=18),No,No,No,No,No,No,Sitting,Lab,Not Applicable,Not Applicable,Not Indicated,Not Indicated,"Although prior earable interaction research has explored off-device gesture preferences and recognition techniques in such interaction spaces, supporting gesture reuse over multiple gesture regions needs further exploration.; However, the small form factor and input area constraint in wireless earbuds restrict physical touch interaction to simple on-device taps and swipes, thus limiting their input space.; Although prior literature explored off-device uni-manual gesture reuse across different segmented regions for outer-ear touches to support gesture reusability, similar exploration is lacking for around-ear on-skin space (i.e., face, head, and neck) and above-ear mid-air spaces for supporting similar gestures.; We address this research gap by studying the reuse of different gesture classes at different mid-air and onskin gesture regions and the effect of increasing the number of gesture regions on quantitative and qualitative gesture performance metrics for mid-air and on-skin interaction spaces.; Understanding of end-user preference shift from one interaction space to another for increasing gesture reuse; Analysis of the effects of different factors (i.e., the number of gesture regions and associated boundaries) on interaction space segmentation for uni-manual, off-device earable gestures.",,Device Control,"Embodied Interaction, Input Techniques, Uni-manual Interaction, Touch Surfaces, Earbased Interaction, Earables","Small form factor limits physical input space in earable (i.e., ear-mounted wearable) devices. Off-device earable inputs in alternate mid-air and on-skin around-ear interaction spaces using uni-manual gestures can address this input space limitation. Segmenting these alternate interaction spaces to create multiple gesture regions for reusing off-device gestures can expand earable input vocabulary by a large margin. Although prior earable interaction research has explored off-device gesture preferences and recognition techniques in such interaction spaces, supporting gesture reuse over multiple gesture regions needs further exploration. We collected and analyzed 7560 uni-manual gesture motion data from 18 participants to explore earable gesture reuse by segmentation of on-skin and mid-air spaces around the ear. Our results show that gesture performance degrades significantly beyond 3 mid-air and 5 on-skin around-ear gesture regions for different uni-manual gesture classes (e.g., swipe, pinch, tap). We also present qualitative findings on most and least preferred regions (and associated boundaries) by end-users for different uni-manual gesture shapes across both interaction spaces for earable devices. Our results complement earlier elicitation studies and interaction technologies for earables to help expand the gestural input vocabulary and potentially drive future commercialization of such devices.",112,,https://dl.acm.org/doi/10.1145/3643513,DONE,,,,,,,,,,,,,,,,
[14],Lee et al.,2019,Face,In,Facial Expression,"Smile, Facial Gesture (Other)","Accelerometer, Gyroscope",,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,"Music Player, Phone Calls",,,49,,,,,,Selection,X,X,X,,Yes,No,,,,,,,
[2],Nasser et al.,2019,Actuation,Enabling,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,
[78],Odoemelem et al.,2019,Head Gestures and Pointing,In,Head,"Roll, Pitch","Accelerometer, Gyroscope",Yes,2,Fine,Yes,Yes,Yes,Yes,Medium,High,N/A,N/A,No,No,No,No,No,No,No,N/A,N/A,Earbud,Commercial,Yes,No,"We present an especially minimal and low-cost solution that uses the eSense [1] ear-worn prototype as a small head-worn controller, enabling direct control of an inexpensive robot arm in the environment.; In contrast, we present here a human-robot interface that aims at being minimal in terms of size and costs, and intend to investigate the trade-offs that are caused by this minimalism in terms of accuracy and speed.",,"Device Control, Accessibility, Motion Tracking",N/A,"Head motion-based interfaces for controlling robot arms in real time have been presented in both medical-oriented research as well as human-robot interaction. We present an especially minimal and low-cost solution that uses the eSense [1] ear-worn prototype as a small head-worn controller, enabling direct control of an inexpensive robot arm in the environment. We report on the hardware and software setup, as well as the experiment design and early results.",51,,https://dl.acm.org/doi/10.1145/3345615.3361138,DONE,,,"Path, Orientation, Selection",2,fine,absolute,2,No,Yes,Coupled,Not Present,Not Indicated,High (Derived),Not Indicated,Present,38%
[15],Shirota et al.,2019,Actuation,Enabling,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,
[620],Vega Gálvez et al.,2019,Mouth,In,Teeth,Click,"Accelerometer, Gyroscope",,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,Device Control,,,53,,,,,,"Selection, Position",X,X,absolute,,Yes,No,,,,,,,
[27],Yan et al.,2019,Hand Gestures and Location,In,Hand,Cover (Face),Microphone,Yes,1,Semantic,No,Yes,No,No,Medium,Medium,High (N=12),Medium (N=12),No,Yes (N=12),Yes (N=12),Yes (N=17),Yes (N=17),Yes (N=12),No,Sitting,"Lab, Office",Earbud,Commercial,Yes,No,"introduce PrivateTalk, an on-body interaction technique that allows users to activate voice input by performing the Hand-On-Mouth gesture during speaking.;  However, there are two major challenges with voice input [32]. First, users worry about the privacy risks of disclosing their personal information while speaking. Second, they suffer the inconvenience of repeatedly speaking the wake-up word or pressing a button during multiple rounds of voice input. With PrivateTalk we can address these two issues simultane ously. With PrivateTalk, a user can perform voice input by covering the mouth on one side with a hand while speaking (the Hand-On-Mouth gesture) as shown in Figure 1.",,"AR/VR, Privacy, Device Input","Voice input, hand gesture","We introduce PrivateTalk, an on-body interaction technique that allows users to activate voice input by performing the Hand-On-Mouth gesture during speaking. The gesture is per formed as a hand partially covering the mouth from one side. PrivateTalk provides two benefits simultaneously. First, it enhances privacy by reducing the spread of voice while also concealing the lip movements from the view of other people in the environment. Second, the simple gesture removes the need for speaking wake-up words and is more accessible than a physical/software button especially when the device is not in the user’s hands. To recognize the Hand-On-Mouth gesture, we propose a novel sensing technique that leverages the differ ence of signals received by two Bluetooth earphones worn on the left and right ear. Our evaluation shows that the gesture can be accurately detected and users consistently like PrivateTalk and consider it intuitive and effective.",54,,https://dl.acm.org/doi/10.1145/3332165.3347950,DONE,,,Position,X,X,X,1,Yes,No,Additional,Present,High (N=12),High (Derived),High (N=12),Not Indicated,65%
[223],Cao et al.,2020,Ear and Earable,Enabling,Wearable State,Wear (Earable),"Microphone, Speaker",Partly,1,Fine,Yes,Yes,Yes,No,High,High,N/A,N/A,No,No,No,No,No,No,Yes (N=5),"Distance, Obstacles, Walking",Lab,Earbud,Commercial,Yes,No,new modality of acoustic motion tracking using earphones; We believe this is an important step towards “earable” sensing. include earphones into the ecosystem of acoustic motion tracking.,,"Motion Tracking, AR/VR, Device Control, Device Input","Earable sensing, Earphone-based acoustic sensing, Motion tracking","Acoustic motion tracking is an exciting new research area with promising progress in the last few years. Due to the inherent low propagation speed in the air, acoustic signals have the unique advantage of fine sensing granularity compared to RF signals. Speakers and microphones nowadays are pervasively available in devices surrounding us, such as smartphones and voice-controlled smart speakers. Though promising, one fundamental issue hindering the adoption of acoustic-based motion tracking is that the positions of microphones and speakers inside a device are fixed, which greatly limits the flexibility of acoustic motion tracking. In this work, we propose a new modality of acoustic motion tracking using earphones. Earphone-based tracking mitigates the constraints associated with traditional smartphone-based tracking. With novel designs and comprehensive experiments, we show earphone-based motion tracking can achieve a great flexibility and a high accuracy at the same time. We believe this is an important step towards “earable” sensing.",55,,https://dl.acm.org/doi/10.1145/3384419.3430730,DONE,,,,,,,,,,,,,,,,
[212],Chen et al.,2020,Face,In,Facial Expression,"Smile, Facial Gesture (Eye), Facial Gesture (Mouth), Facial Gesture (Other)",Camera,,,,Yes,Visual Attention,,,,,,,,,,,,,,,,,,,,,,"Silent Speech, Emotion Recognition, Communication, Feedback System, Customer Analytics",,,56,,,,,,Selection,X,X,X,,Yes,No,,,,,,,
[21],Choi & Kim,2020,Actuation,Enabling,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,
[149],Kaveh et al.,2020,Eye-Tracking,In,Brain Activity,,EEG,,,,,,,,,,,,,,,,,,,,,,,,,,,BCI Applic.,,,58,,,,,,Selection,,,,,,,,,,,,,
[249],Pfreundtner et al.,2020,Head Gestures and Pointing,Enabling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,
[16],Prakash et al.,2020,Mouth,In,Teeth,"Click, Slide",Speaker,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,"Device Input, Accessibility, Authentification, Device Control, Health",,,60,,,,,,Selection,2,coarse (2x3),absolute,,Yes,No,,,,,,,
[26],Xu et al.,2020,"Ear and Earable, Hand Gestures and Location",In,Hand,"Tap (Face), Tap (Ear), Slide (Face), Slide (Ear)",Microphone,Yes,8,Semantic,No,Yes,Yes,Yes,Medium,High,High (N=18),Medium (N=18),Yes (N=16),Yes (N=12),Yes (N=16),No,Yes (N=16),Yes (N=18),No,"Noise, Sitting",Lab,Earbud,Commercial,Yes,No,"This observation gives rise to EarBuddy, a novel eyes-free input system that detects gestures performed along users’ faces using wireless earbuds.; We propose EarBuddy, a novel eyes-free input technique supported by wireless earbuds without the need for hardware modification; gesture set for EarBuddy that is optimized for user preference and microphone detectability.",,"Music Player, Phone Calls, Communication, Device Input, AR/VR","Wireless earbuds, face and ear interaction, gesture recognition","Past research regarding on-body interaction typically requires custom sensors, limiting their scalability and generalizability. We propose EarBuddy, a real-time system that leverages the microphone in commercial wireless earbuds to detect tapping and sliding gestures near the face and ears. We develop a design space to generate 27 valid gestures and conducted a user study (N=16) to select the eight gestures that were optimal for both human preference and microphone detectability. We collected a dataset on those eight gestures (N=20) and trained deep learning models for gesture detection and classification. Our optimized classifier achieved an accuracy of 95.3%. Finally, we conducted a user study (N=12) to evaluate EarBuddy’s usability. Our results show that EarBuddy can facilitate novel interaction and that users feel very positively about the system. EarBuddy provides a new eyes-free, socially acceptable input method that is compatible with commercial wireless earbuds and has the potential for scalability and generalizability.",61,,https://dl.acm.org/doi/10.1145/3313831.3376836,DONE,,,"Selection, Position, Path",1,X,relative,27,Yes,No,X,Present (N=16),High (N=12),High (Derived),High (N=16),Present,83%
[611],Yang et al.,2020,Head Gestures and Pointing,In,Head,"Roll, Pitch, Yaw","Accelerometer, Gyroscope",No,1,Fine,Yes,Visual Attention,No,No,Medium,High,Medium (N=7),N/A,No,No,No,No,No,Yes (N=7),Yes (N=7),"Standing, Walking",University Building,Headphone,Commercial,Yes,No,This paper aims to use modern earphones as a platform for acoustic augmented reality (AAR).,,"AR/VR, Activity Recognition","Augmented Reality, Acoustics, Smart Earphones, Wearable Computing, Indoor Localization, Inertial Measurement Unit (IMU), Dead Reckoning, Motion Tracking, Sensor Fusion, Head Related Transfer Function (HRTF), Spatial Audio","This paper aims to use modern earphones as a platform for acoustic augmented reality (AAR). We intend to play 3D audio-annotations in the user’s ears as she moves and looks at AAR objects in the environment. While companies like Bose and Microsoft are beginning to release such capabilities, they are intended for outdoor environments. Our system aims to explore the challenges indoors, without requiring any infrastructure deployment. Our core idea is two-fold. (1) We jointly use the inertial sensors (IMUs) in earphones and smartphones to estimate a user’s indoor location and gazing orientation. (2) We play 3D sounds in the earphones and exploit the human’s responses to (re)calibrate errors in location and orientation. We believe this fusion of IMU and acoustics is novel, and could be an important step towards indoor AAR. Our system, Ear-AR, is tested on 7 volunteers invited to an AAR exhibition – like a museum – that we set up in our building’s lobby and lab. Across 60 different test sessions, the volunteers browsed different subsets of 24 annotated objects as they walked around. Results show that Ear-AR plays the correct audio-annotations with good accuracy. The user-feedback is encouraging and points to further areas of research and applications.",62,,https://dl.acm.org/doi/10.1145/3372224.3419213,DONE,,,"Selection, Orientation",3,fine,absolute,1,No,Yes,Coupled,Partly Present,Not Indicated,Medium (Derived),Not Indicated,Not Indicated,25%
