,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Main Author,Year,Location,Filter,Input Body Part,Gesture,Sensors,No Additional Sensing,Number of Selected Gestures,Resolution,Hands- Free,Eyes- Free,Possible on One Ear,Adaptation of the Interaction Detection Algorithm to the Individual User,Discreetness of Interaction Techniques,Social Acceptability of Interaction Techniques,Accuracy of Interaction Recognition,Robustness of Interaction Detection,Elicitation Study,Usability Evaluations,Cognitive Ease Evaluations,Discreetness of Interactions Evaluations,Social Acceptability of Interactions Evaluations,Accuracy of Interactions Evaluation,Alternative Interaction Validity Evaluations,Evaluation of Different Conditions,Evaluations of Different Settings,Earphone Type,Development Stage,Real-Time Processing,On Device Processing,Motivations (Notes),Motivations,Intended Applications,Keywords,Abstract,DB ID,Study Link,DONE,Discreetness of Interaction Techniques - MK,Social Acceptability of Interaction Techniques - MK,Elemental Task,Degrees of Freedom,Resolution - Alt,Spatial,No. of proposed Semantic Gestures,Discrete,Continuous,Active Feedback,Theoretical Grounding of Interaction Techniques,Usability,"Device 
Appearance","Cognitive 
Ease",Multi-Gesture Detection,Composite Evaluative Score
[80],Ferlini et al.,2019,Head Gestures and Pointing,Enabling,Head,Yaw,"Accelerometer, Gyroscope, Magnetometer",Yes,1,Fine,Yes,Yes,No,No,Medium,High,N/A,N/A,No,No,No,No,No,No,Yes (N=10),"Eating, Speaking, Standing",Lab,Earbud,Commercial,Yes,No,"Earables, like the eSense platform we evaluate in this paper, have an enormous and mostly unexploited potential. For instance, if adopted as hearing-aids, earables could be used both as sensors and actuators.; In this work, we focus on the evaluation of the eSense platform [7, 12] in tracking the head movements of a user concentrating on a specific spatial point.; By tracking instantaneous head movements as a proxy to track visual attention, our study shows how a system, that relies only on accelerometer and gyroscope, can still provide useful insights on where a person is facing.; his paper lays the foundations of a line of work aiming to sense and characterize human attention through earables, wearables that are neither socially-awkward, nor cumbersome, unusable or unrealistic (e.g. combining an hearing-aid with a pair of eye-tracking glasses). Lastly, it sheds light on how a magnetometer would behave if placed in an earable.",,"Accessibility, Motion Tracking","Earables, Head Motion Tracking, Visual Attention","Head tracking is a fundamental component in visual attention detection, which, in turn, can improve the state of the art of hearing aid devices. A multitude of wearable devices for the ear (so called earables) exist. Current devices lack a magnetometer which, as we will show, represents a big challenge when one tries to use them for accurate head tracking. In this work we evaluate the performance of eSense, a representative earable device, to track head rotations. By leveraging two different streams (one per earbud) of inertial data (from the accelerometer and the gyroscope), we achieve an accuracy up to a few degrees. We further investigate the interference generated by a magnetometer in an earable to understand the barriers to its use in these types of devices.",43,https://dl.acm.org/doi/10.1145/3345615.3361131,DONE,,,,,,,,,,,,,,,,
[77],Hoelzemann et al.,2019,Ear and Earable,In,Hand,Press (Earable),Button,Yes,1,Semantic,No,Yes,Yes,No,Medium,High,N/A,N/A,No,Yes (N=7),No,No,No,No,No,"Sitting, Walking, Walking Stairs, Sports","Lab, Sports Site",Earbud,Commercial,Yes,No,"Wearable activity recognition research needs benchmark data, which rely heavily on synchronizing and annotating the inertial sensor data, in order to validate the activity classifiers. Such validation studies become challenging when recording outside the lab, over longer stretches of time.; It would allow the users to annotate their data without much effort in a socially comfortable way, which also enables ’in the wild’ experiments as study volunteers annotate activities in their daily lives.",,Data Annotation,N/A,"Wearable activity recognition research needs benchmark data, which rely heavily on synchronizing and annotating the inertial sensor data, in order to validate the activity classifiers. Such validation studies become challenging when recording outside the lab, over longer stretches of time. This paper presents a method that uses an inconspicuous, earworn device that allows the wearer to annotate his or her activities as the recording takes place. Since the ear-worn device has integrated inertial sensors, we use cross-correlation over all wearable inertial signals to propagate the annotations over all sensor streams. In a feasibility study with 7 participants performing 6 different physical activities, we show that our algorithm is able to synchronize signals between sensors worn on the body using cross-correlation, typically within a second. A comfort rating scale study has shown that attachment is critical. Button presses can thus define markers in synchronized activity data, resulting in a fast, comfortable, and reliable annotation method.",44,https://dl.acm.org/doi/10.1145/3345615.3361136,DONE,,,Position,X,X,X,1,Yes,No,X,Not Present,Medium (N=7),High (Derived),Not Indicated,Not Indicated,31%
[106],Lee et al.,2019,Actuation,Enabling,N/A,Vibration (Actuation),N/A,N/A,40,"Coarse, Semantic",Yes,Yes,Yes,N/A,High,High,N/A,N/A,No,No,Yes (N=14),No,No,No,No,Walking,Lab,Custom Device,Research Prototype,N/A,N/A,"With three studies and a total of 38 participants, we suggest the design of ActivEarring, a ear-worn device capable of imparting information by stimulating six different locations on both ears.; Our goal with the research presented in this paper is to understand the human perception of tactile stimuli presented on the ears, and based on these findings develop and test the prototype of a ear-worn haptic display, named ActivEarring.",,"Navigation, Accessibility, AR/VR, Music Player, Gaming","Ear, haptics, wearable, digital jewelry, spatiotemporal patterns, smart earring","The symmetric configuration and the sensitivity of ears in addition to the long tradition of earrings as adornment open up the possibility for smart ear-worn devices. Taking advantage of these attributes, past research mostly focused on creating novel unobtrusive sensing input devices and auditory displays placed on the ear. Meanwhile, the tactile sensitivity of the ear has long been overshadowed by its auditory capacity, presenting the opportunity to investigate how ears can be exploited for unobtrusive tactile information transfer. With three studies and a total of 38 participants, we suggest the design of ActivEarring, a ear-worn device capable of imparting information by stimulating six different locations on both ears. We evaluated the performance of ActivEarring in a semi-realistic mobile condition and its practical use for information transfer with spatiotemporal patterns. Finally, we demonstrate that ActivEarring can be incorporated in common jewelry design, and present three applications that illustrate promising usage scenarios.",45,https://ieeexplore.ieee.org/document/8750808,DONE,,,,,,,,,,,,,,,,
[14],Lee et al.,2019,Face,In,Facial Expression,"Smile, Facial Gesture (Other)","Accelerometer, Gyroscope",Yes,2,Semantic,Yes,Yes,Yes,No,Low,Medium,Medium (N=9),Medium (N=9),No,No,No,No,No,Yes (N=9),No,"Sitting, Walking, Standing",Lab,Earbud,Commercial,No,No,"In this paper, we introduce inertial signals obtained from an earable placed in the ear canal as a new compelling sensing modality for recognising two key facial expressions: smile and frown.",,"Music Player, Phone Calls","smile recognition, frown recognition, earable, FACS, kinetic modeling","In this paper, we introduce inertial signals obtained from an earable placed in the ear canal as a new compelling sensing modality for recognising two key facial expressions: smile and frown. Borrowing principles from Facial Action Coding Systems, we first demonstrate that an inertial measurement unit of an earable can capture facial muscle deformation activated by a set of temporal microexpressions. Building on these observations, we then present three different learning schemes - shallow models with statistical features, hidden Markov model, and deep neural networks to automatically recognise smile and frown expressions from inertial signals. The experimental results show that in controlled non-conversational settings, we can identify smile and frown with high accuracy (F1 score: 0.85).",46,https://doi.org/10.1145/3311823.3311869,DONE,,,Selection,X,X,X,,Yes,No,,,,,,,
[2],Nasser et al.,2019,Actuation,Enabling,N/A,Thermal (Actuaction),N/A,N/A,1,Fine,Yes,Yes,Yes,N/A,High,High,N/A,N/A,No,No,No,No,No,No,No,Sitting,Lab,Custom Device,Research Prototype,N/A,N/A,This paper introduces a novel concept of an earable device that can provide thermal (hot and cold) haptic cues at multiple areas around the ear.; We conducted a pilot study using a proof-of-concept prototype and confirmed the feasibility of the concept.,,"Accessibility, AR/VR","Earable interfaces, thermal earable, thermal wearable, earable display","Earables/hearables (ear-worn devices) are on the rise as nextgeneration wearables which are capable of streaming audio, modifying soundscapes, and collecting body vitals. This paper introduces a novel concept of an earable device that can provide thermal (hot and cold) haptic cues at multiple areas around the ear. The concept with discrete thermal encoding can help the hearing and visually impaired individuals to obtain directional and other notifications from mobile and IoT devices. Embedding thermal haptic feedback into an earable form factor have a better edge in terms of privacy of notifications when compared to audio, visual, and vibrohaptic modalities. We conducted a pilot study using a proof-of-concept prototype and confirmed the feasibility of the concept.",47,https://doi.org/10.1145/3308561.3354636,DONE,,,,,,,,,,,,,,,,
[78],Odoemelem et al.,2019,Head Gestures and Pointing,In,Head,"Roll, Pitch","Accelerometer, Gyroscope",Yes,2,Fine,Yes,Yes,Yes,Yes,Medium,High,N/A,N/A,No,No,No,No,No,No,No,N/A,N/A,Earbud,Commercial,Yes,No,"We present an especially minimal and low-cost solution that uses the eSense [1] ear-worn prototype as a small head-worn controller, enabling direct control of an inexpensive robot arm in the environment.; In contrast, we present here a human-robot interface that aims at being minimal in terms of size and costs, and intend to investigate the trade-offs that are caused by this minimalism in terms of accuracy and speed.",,"Device Control, Accessibility, Motion Tracking",N/A,"Head motion-based interfaces for controlling robot arms in real time have been presented in both medical-oriented research as well as human-robot interaction. We present an especially minimal and low-cost solution that uses the eSense [1] ear-worn prototype as a small head-worn controller, enabling direct control of an inexpensive robot arm in the environment. We report on the hardware and software setup, as well as the experiment design and early results.",48,https://dl.acm.org/doi/10.1145/3345615.3361138,DONE,,,"Path, Orientation, Selection",2,fine,absolute,2,No,Yes,Coupled,Not Present,Not Indicated,High (Derived),Not Indicated,Present,38%
[15],Shirota et al.,2019,Actuation,Enabling,N/A,Deformation (Actuation),N/A,N/A,1,Coarse,Yes,Yes,No,N/A,Medium,Medium,N/A,N/A,No,No,No,No,No,No,No,Sitting,Lab,Headphone,Research Prototype,N/A,N/A,"This study demonstrates that by opening and closing the human pinna, we can change the direction of sound perceived by humans.; Through our research, we contribute to the search for new possibilities for humans through the opening and closing of the ears.",,"AR/VR, Navigation","Actuating human body, wearable pinna device, ear, sound illusion,sound direction","This study demonstrates that by opening and closing the human pinna, we can change the direction of sound perceived by humans. Each ear was independently transformed into a 100% open, 50% open, and 100% closed state, and all 9 combinations of these ear transformations were tested to evaluate the perceived direction of the sound output from 7 speakers placed 180 degrees around the subject. We demonstrate that by deforming the pinna, we could change the perception of the direction of sound, or make it illusory. We also found that except for 1 out of 7 speakers (or directions of sound), closing 100% of the ear on the side of the speaker where the sound is coming from and 50% of the ear on the other side of the speaker tends produce the most alteration to the perceived direction of sound.",49,https://doi.org/10.1145/3341163.3347725,DONE,,,,,,,,,,,,,,,,
[620],Vega Gálvez et al.,2019,Mouth,In,Teeth,Click,"Accelerometer, Gyroscope",Yes,4,Semantic,Yes,Yes,Yes,No,High,High,Medium,N/A,No,No,No,No,No,Yes,No,Sitting,Lab,Custom Device,Research Prototype,No,No,Byte.it expands on this work by exploring the use of a smaller and more discreetly positioned sensor suite (accelerometer and gyroscope) for detecting four different teethclicks for everyday human-computer interaction.,,Device Control,"Discreet Interfaces, Teeth Gestures, Hands-free Interaction, Microgestures","Byte.it is an exploration of the feasibility of using miniaturized, discreet hardware for teeth-clicking as hands-free input for wearable computing. Prior work has been able to identify teeth-clicking of different teeth groups. Byte.it expands on this work by exploring the use of a smaller and more discreetly positioned sensor suite (accelerometer and gyroscope) for detecting four different teethclicks for everyday human-computer interaction. Initial results show that an unobtrusive position on the lower mastoid and mandibular condyle can be used to classify teeth-clicking of four different teeth groups with an accuracy of 89%.",50,https://doi.org/10.1145/3290607.3312925,DONE,,,"Selection, Position",X,X,absolute,,Yes,No,,,,,,,
[27],Yan et al.,2019,Hand Gestures and Location,In,Hand,Cover (Face),Microphone,Yes,1,Semantic,No,Yes,No,No,Medium,Medium,High (N=12),Medium (N=12),No,Yes (N=12),Yes (N=12),Yes (N=17),Yes (N=17),Yes (N=12),No,Sitting,"Lab, Office",Earbud,Commercial,Yes,No,"introduce PrivateTalk, an on-body interaction technique that allows users to activate voice input by performing the Hand-On-Mouth gesture during speaking.;  However, there are two major challenges with voice input [32]. First, users worry about the privacy risks of disclosing their personal information while speaking. Second, they suffer the inconvenience of repeatedly speaking the wake-up word or pressing a button during multiple rounds of voice input. With PrivateTalk we can address these two issues simultane ously. With PrivateTalk, a user can perform voice input by covering the mouth on one side with a hand while speaking (the Hand-On-Mouth gesture) as shown in Figure 1.",,"AR/VR, Privacy, Device Input","Voice input, hand gesture","We introduce PrivateTalk, an on-body interaction technique that allows users to activate voice input by performing the Hand-On-Mouth gesture during speaking. The gesture is per formed as a hand partially covering the mouth from one side. PrivateTalk provides two benefits simultaneously. First, it enhances privacy by reducing the spread of voice while also concealing the lip movements from the view of other people in the environment. Second, the simple gesture removes the need for speaking wake-up words and is more accessible than a physical/software button especially when the device is not in the user’s hands. To recognize the Hand-On-Mouth gesture, we propose a novel sensing technique that leverages the differ ence of signals received by two Bluetooth earphones worn on the left and right ear. Our evaluation shows that the gesture can be accurately detected and users consistently like PrivateTalk and consider it intuitive and effective.",51,https://dl.acm.org/doi/10.1145/3332165.3347950,DONE,,,Position,X,X,X,1,Yes,No,Additional,Present,High (N=12),High (Derived),High (N=12),Not Indicated,65%
[223],Cao et al.,2020,Ear and Earable,Enabling,Wearable State,Wear (Earable),"Microphone, Speaker",Partly,1,Fine,Yes,Yes,Yes,No,High,High,N/A,N/A,No,No,No,No,No,No,Yes (N=5),"Distance, Obstacles, Walking",Lab,Earbud,Commercial,Yes,No,new modality of acoustic motion tracking using earphones; We believe this is an important step towards “earable” sensing. include earphones into the ecosystem of acoustic motion tracking.,,"Motion Tracking, AR/VR, Device Control, Device Input","Earable sensing, Earphone-based acoustic sensing, Motion tracking","Acoustic motion tracking is an exciting new research area with promising progress in the last few years. Due to the inherent low propagation speed in the air, acoustic signals have the unique advantage of fine sensing granularity compared to RF signals. Speakers and microphones nowadays are pervasively available in devices surrounding us, such as smartphones and voice-controlled smart speakers. Though promising, one fundamental issue hindering the adoption of acoustic-based motion tracking is that the positions of microphones and speakers inside a device are fixed, which greatly limits the flexibility of acoustic motion tracking. In this work, we propose a new modality of acoustic motion tracking using earphones. Earphone-based tracking mitigates the constraints associated with traditional smartphone-based tracking. With novel designs and comprehensive experiments, we show earphone-based motion tracking can achieve a great flexibility and a high accuracy at the same time. We believe this is an important step towards “earable” sensing.",52,https://dl.acm.org/doi/10.1145/3384419.3430730,DONE,,,,,,,,,,,,,,,,
[234],Chen et al.,2020,"Ear and Earable, Hand Gestures and Location",Elicitation,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes (N=27),Yes (N=27),No,No,Yes (N=27),No,No,Sitting,Lab,N/A,N/A,N/A,N/A,"elicitation study, This paper aims to bring more understandings of gesture design.; To better understand how users’ physical- and social-comfort is impacted when interacting with smart devices via ear-based input, we conducted a user elicitation study from which results we compile a set of user-defined gestures.",,"Device Control, Device Input, Music Player, Phone Calls","Gestures, Ear-based Input, User-defined, Guessability, Think-aloud","The human ear is highly sensitive and accessible, making it especially suitable for being used as an interface for interacting with smart earpieces or augmented glasses. However, previous works on ear-based input mainly address gesture sensing technology and researcher-designed gestures. This paper aims to bring more understandings of gesture design. Thus, for a user elicitation study, we recruited 28 participants, each of whom designed gestures for 31 smart device-related tasks. This resulted in a total of 868 gestures generated. Upon the basis of these gestures, we compiled a taxonomy and concluded the considerations underlying the participants’ designs that also offer insights into their design rationales and preferences. Thereafter, based on these study results, we propose a set of user-defined gestures and share interesting findings. We hope this work can shed some light on not only sensing technologies of ear-based input, but also the interface design of future wearable interfaces.",53,https://dl.acm.org/doi/10.1145/3427314,DONE,,,,,,,,,,,,,,,,
[212],Chen et al.,2020,Face,In,Facial Expression,"Smile, Facial Gesture (Eye), Facial Gesture (Mouth), Facial Gesture (Other)",Camera,Yes,30,Semantic,Yes,Visual Attention,No,Yes,Low,Low,Medium (N=9),N/A,No,No,No,No,No,Yes (N=9),Yes (N=9),"Wearing Styles, Sitting, Mask, Glasses",Lab,"Earbud, Headphone",Research Prototype,No,No,"To overcome the above challenges, researchers have developed various wearable devices for facial expression recognition using sensing techniques such as acoustic interference, pressure sensing, electrical impedance tomography (EIT) and electromyography (EMG) [42, 43, 10]. Compared to the previously mentioned front-facing camera method, wearable devices are always mounted on the user.",,"Silent Speech, Emotion Recognition, Communication, Feedback System, Customer Analytics","Wearable computing, Deep Learning, Computer Vision, Facial Expression Reconstruction and Tracking, Ear Sensing, Emoji Recognition, Silent Speech","C-Face (Contour-Face) is an ear-mounted wearable sensing technology that uses two miniature cameras to continuously reconstruct facial expressions by deep learning contours of the face. When facial muscles move, the contours of the face change from the point of view of the ear-mounted cameras. These subtle changes are fed into a deep learning model which continuously outputs 42 facial feature points representing the shapes and positions of the mouth, eyes and eyebrows. To evaluate C-Face, we embedded our technology into headphones and earphones. We conducted a user study with nine participants. In this study, we compared the output of our system to the feature points outputted by a state of the art computer vision library (Dlib1) from a font facing camera. We found that the mean error of all 42 feature points was 0.77 mm for earphones and 0.74 mm for headphones. The mean error for 20 major feature points capturing the most active areas of the face was 1.43 mm for earphones and 1.39 mm for headphones. The ability to continuously reconstruct facial expressions introduces new opportunities in a variety of applications. As a demonstration, we implemented and evaluated C-Face for two applications: facial expression detection (outputting emojis) and silent speech recognition. We further discuss the opportunities and challenges of deploying C-Face in real-world applications.",54,http://dx.doi.org/10.1145/3379337.3415879,DONE,,,Selection,X,X,X,,Yes,No,,,,,,,
[149],Kaveh et al.,2020,"Eye-Tracking, Brain",In,Eye,Blink,EEG,Yes,1,Semantic,Yes,No,Yes,No,Medium,Medium,N/A,N/A,No,No,No,No,No,No,Yes (N=3),Sitting,Lab,Custom Device,Research Prototype,No,No,"This is the first wireless in-ear EEG to our knowledge to incorporate a dry multielectrode, user-generic design. The user-generic ear EEG recorded a mean alpha modulation of 2.17, outperforming the state-of-the-art in dry electrode in-ear EEG systems.; To make in-ear EEG widely usable, this paper presents a wireless in-ear EEG recording platform (user-generic ear EEG). To fit a large number and wide range of users, the design is based on dry electrodes in a user-generic rather than individualized design.; This work presents a discreet ear EEG recording system with a user-generic earpiece and wireless neural recording module.",,"Device Input, BCI-Application","BCI, dry electrodes, ear EEG, EEG, user-generic, wireless neural recording","In the past few years it has been demonstrated that electroencephalography (EEG) can be recorded from inside the ear (in-ear EEG). To open the door to low-profile earpieces as wearable brain-computer interfaces (BCIs), this work presents a practical in-ear EEG device based on multiple dry electrodes, a user-generic design, and a lightweight wireless interface for streaming data and device programming. The earpiece is designed for improved ear canal contact across a wide population of users and is fabricated in a low-cost and scalable manufacturing process based on standard techniques such as vacuum forming, plasma-treatment, and spray coating. A 2.5 × 2.5 cm2 wireless recording module is designed to record and stream data wirelessly to a host computer. Performance was evaluated on three human subjects over three months and compared with clinical-grade wet scalp EEG recordings. Recordings of spontaneous and evoked physiological signals, eye-blinks, alpha rhythm, and the auditory steady-state response (ASSR), are presented. This is the first wireless in-ear EEG to our knowledge to incorporate a dry multielectrode, user-generic design. The user-generic ear EEG recorded a mean alpha modulation of 2.17, outperforming the state-of-the-art in dry electrode in-ear EEG systems.",55,https://ieeexplore.ieee.org/abstract/document/9115876,DONE,,,Selection,,,,,,,,,,,,,
[16],Prakash et al.,2020,Mouth,In,Teeth,"Click, Slide",Speaker,Yes,9,Semantic,Yes,Yes,No,No,High,High,Medium (N=18),Medium (N=18),No,No,No,No,No,Yes (N=18),No,"Walking, Head Movement, Cycling, Cooking, Device, Speaking, Sitting",Lab,Earbud,Commercial,Yes,No,"In fact, by analyzing the signals at the two earphones, we show the feasibility of also localizing teeth gestures, resulting in a human-to-machine interface.; This paper explores the possibility of sensing teeth-and-jaw motion using commercial off-the-shelf earphones.; This enables a new form of contact-less user interface where a user can scroll, click, type, pause, etc. simply using his/her teeth. Unlike other contact-less user interfaces like hand or body gestures, eye trackers, or voice activated interfaces, EarSense is non-invasive, secure, and maintains the privacy of the user, i.e., the command cannot be heard or seen by anyone.",,"Device Input, Accessibility, Authentification, Device Control, Health, Privacy","Earable, Teeth gestures, User Interface, Vibroacoustics, Headphones, Earphones","This paper finds that actions of the teeth, namely tapping and sliding, produce vibrations in the jaw and skull. These vibrations are strong enough to propagate to the edge of the face and produce vibratory signals at an earphone. By re-tasking the earphone speaker as an input transducer – a software modification in the sound card – we are able to sense teeth-related gestures across various models of ear/headphones. In fact, by analyzing the signals at the two earphones, we show the feasibility of also localizing teeth gestures, resulting in a human-to-machine interface. Challenges range from coping with weak signals, distortions due to different teeth compositions, lack of timing resolution, spectral dispersion, etc. We address these problems with a sequence of sensing techniques, resulting in the ability to detect 6 distinct gestures in real-time. Results from 18 volunteers exhibit robustness, even though our system – EarSense does not depend on per-user training. Importantly, EarSense also remains robust in the presence of concurrent user activities, like walking, nodding, cooking and cycling. Our ongoing work is focused on detecting teeth gestures even while music is being played in the earphone; once that problem is solved, we believe EarSense could be even more compelling.",56,https://doi.org/10.1145/3372224.3419197,DONE,,,Selection,2,coarse (2x3),absolute,,Yes,No,,,,,,,
[26],Xu et al.,2020,"Ear and Earable, Hand Gestures and Location",In,Hand,"Tap (Face), Tap (Ear), Slide (Face), Slide (Ear)",Microphone,Yes,8,Semantic,No,Yes,Yes,Yes,Medium,High,High (N=18),Medium (N=18),Yes (N=16),Yes (N=12),Yes (N=16),No,Yes (N=16),Yes (N=18),No,"Noise, Sitting",Lab,Earbud,Commercial,Yes,No,"This observation gives rise to EarBuddy, a novel eyes-free input system that detects gestures performed along users’ faces using wireless earbuds.; We propose EarBuddy, a novel eyes-free input technique supported by wireless earbuds without the need for hardware modification; gesture set for EarBuddy that is optimized for user preference and microphone detectability.",,"Music Player, Phone Calls, Communication, Device Input, AR/VR","Wireless earbuds, face and ear interaction, gesture recognition","Past research regarding on-body interaction typically requires custom sensors, limiting their scalability and generalizability. We propose EarBuddy, a real-time system that leverages the microphone in commercial wireless earbuds to detect tapping and sliding gestures near the face and ears. We develop a design space to generate 27 valid gestures and conducted a user study (N=16) to select the eight gestures that were optimal for both human preference and microphone detectability. We collected a dataset on those eight gestures (N=20) and trained deep learning models for gesture detection and classification. Our optimized classifier achieved an accuracy of 95.3%. Finally, we conducted a user study (N=12) to evaluate EarBuddy’s usability. Our results show that EarBuddy can facilitate novel interaction and that users feel very positively about the system. EarBuddy provides a new eyes-free, socially acceptable input method that is compatible with commercial wireless earbuds and has the potential for scalability and generalizability.",57,https://dl.acm.org/doi/10.1145/3313831.3376836,DONE,,,"Selection, Position, Path",1,X,relative,27,Yes,No,X,Present (N=16),High (N=12),High (Derived),High (N=16),Present,83%
[611],Yang et al.,2020,Head Gestures and Pointing,In,Head,"Roll, Pitch, Yaw","Accelerometer, Gyroscope",No,1,Fine,Yes,Visual Attention,No,No,Medium,High,Medium (N=7),N/A,No,No,No,No,No,Yes (N=7),Yes (N=7),"Standing, Walking",University Building,Headphone,Commercial,Yes,No,This paper aims to use modern earphones as a platform for acoustic augmented reality (AAR).,,"AR/VR, Activity Recognition","Augmented Reality, Acoustics, Smart Earphones, Wearable Computing, Indoor Localization, Inertial Measurement Unit (IMU), Dead Reckoning, Motion Tracking, Sensor Fusion, Head Related Transfer Function (HRTF), Spatial Audio","This paper aims to use modern earphones as a platform for acoustic augmented reality (AAR). We intend to play 3D audio-annotations in the user’s ears as she moves and looks at AAR objects in the environment. While companies like Bose and Microsoft are beginning to release such capabilities, they are intended for outdoor environments. Our system aims to explore the challenges indoors, without requiring any infrastructure deployment. Our core idea is two-fold. (1) We jointly use the inertial sensors (IMUs) in earphones and smartphones to estimate a user’s indoor location and gazing orientation. (2) We play 3D sounds in the earphones and exploit the human’s responses to (re)calibrate errors in location and orientation. We believe this fusion of IMU and acoustics is novel, and could be an important step towards indoor AAR. Our system, Ear-AR, is tested on 7 volunteers invited to an AAR exhibition – like a museum – that we set up in our building’s lobby and lab. Across 60 different test sessions, the volunteers browsed different subsets of 24 annotated objects as they walked around. Results show that Ear-AR plays the correct audio-annotations with good accuracy. The user-feedback is encouraging and points to further areas of research and applications.",58,https://dl.acm.org/doi/10.1145/3372224.3419213,DONE,,,"Selection, Orientation",3,fine,absolute,1,No,Yes,Coupled,Partly Present,Not Indicated,Medium (Derived),Not Indicated,Not Indicated,25%
[229],Fan et al.,2021,Ear and Earable,In,"Hand, Wearable State","Slide (Earable), Tap (Earable)",Pressure Sensor,Yes,2,Semantic,No,Yes,No,No,Medium,High,High (N=1),Medium (N=1),No,No,No,No,No,Yes (N=1),No,"Music, Sitting",Lab,Custom Device,Research Prototype,No,No,bringing intelligence to headphones.; We envision HeadFi can serve as a vital supplementary solution to existing smart headphone design by directly transforming large amounts of existing “dumb” headphones into intelligent ones.,,"Music Player, Device Control","Earable Computing, Wearable Devices, User Identification, Heartrate Monitoring, Touch Gesture Control, Voice Communication","Headphones continue to become more intelligent as new functions (e.g., touch-based gesture control) appear. These functions usually rely on auxiliary sensors (e.g., accelerometer and gyroscope) that are available in smart headphones. However, for those headphones that do not have such sensors, supporting these functions becomes a daunting task. This paper presents HeadFi, a new design paradigm for bringing intelligence to headphones. Instead of adding auxiliary sensors into headphones, HeadFi turns the pair of drivers that are readily available inside all headphones into a versatile sensor to enable new applications spanning across mobile health, user-interface, and context-awareness. HeadFi works as a plug-in peripheral connecting the headphones and the pairing device (e.g., a smartphone). The simplicity (can be as simple as only two resistors) and small form factor of this design lend itself to be embedded into the pairing device as an integrated circuit. We envision HeadFi can serve as a vital supplementary solution to existing smart headphone design by directly transforming large amounts of existing “dumb” headphones into intelligent ones. We prototype HeadFi on PCB and conduct extensive experiments with 53 volunteers using 54 pairs of non-smart headphones under the institutional review board (IRB) protocols. The results show that HeadFi can achieve 97.2%–99.5% accuracy on user identification, 96.8%–99.2% accuracy on heart rate monitoring, and 97.7%–99.3% accuracy on gesture recognition.",59,https://dl.acm.org/doi/10.1145/3447993.3448624,DONE,,,"Selection, Path",1,X,relative,2,Yes,No,X,Not Present,Not Indicated,Medium (Derived),Not Indicated,Present,38%
[247],Ferlini et al.,2021,Head Gestures and Pointing,Enabling,Head,Yaw,Magnetometer,No,1,Fine,Yes,Yes,Yes,No,Medium,High,N/A,N/A,No,No,No,No,No,No,Yes,"Music, Head Movement, Walking, Standing","Lab, Outdoors",Earbud,Research Prototype,No,No,"We explore the feasibility of adding a built-in magnetometer in an earbud, presenting the first comprehensive study of the magnetic interference impacting the magnetometer when placed in an earable: both that caused by the speaker and by RF (music streaming and voice calls) are considered.; We explore how magnetometer signals are affected by magnetic disturbances expected in an earable, highlighting the need for good calibration. (ii) We propose a novel magnetometer calibration technique that leverages the user’s phone sensors (typically well calibrated). The algorithm can run in the background, without user intervention, providing a semi-continuous calibration. (iii) We evaluate the performance of the calibration framework, both in terms of accuracy and system performance. Further, we present a proof of concept study with a navigation application. (iv) We theoretically and practically assess the computational and energy efficiency of our approach, showing our approach is accurate yet computationally inexpensive, allowing its regular execution on a con",,"Navigation, Authentification",N/A,"Earables (in-ear wearables) are a new frontier in wearables. Acting both as leisure devices, providing personal audio, as well as sensing platforms, earables could collect sensor data for the upper part of the body, subject to fewer vibrations and random movement variations than the lower parts of the body, due to inherent damping in the musculoskeletal system. These data may enable application domains such as augmented/virtual reality, medical rehabilitation, and health condition screening. Unfortunately, earables have inherent size, shape, and weight constraints limiting the type and position of the sensors on such platforms. For instance, lacking a magnetometer in all earables reference platforms, earables lack reference points. Thus, it becomes harder to work with absolute orientations. Embedding magnetometers in earables is challenging, as these rely heavily on radio (mostly Bluetooth) communication (RF) and contain magnets for magnetic-driven speakers and docking. We explore the feasibility of adding a built-in magnetometer in an earbud, presenting the first comprehensive study of the magnetic interference impacting the magnetometer when placed in an earable: both that caused by the speaker and by RF (music streaming and voice calls) are considered. We find that appropriate calibration of the magnetometer removes the offsets induced by the magnets, the speaker, and the variable interference due to BT. Further, we present an automatic, user-transparent adaptive calibration that obviates the need for alternative, expensive, and error-prone manual, or robotics, calibration procedures. Our evaluation shows how our calibration approach performs under different conditions, achieving convincing results with errors below 3° for the majority of the experiments.",60,https://ieeexplore.ieee.org/abstract/document/9439112?casa_token=YXCX9klMfrsAAAAA:6sZ70_-2Tioadkkv_2a21sktU8J4HUREXtdAgsuFsizYlG2MPe9t_9-6XwPlhLbQiati-jmUtA,DONE,,,,,,,,,,,,,,,,
